"","x"
"449",3
"450",5
"451",3
"452",3
"453",1
"454",5
"455",5
"456",1
"457",1
"458",1
"459",2
"460",6
"461",1
"462",3
"463",4
"464",4
"465",6
"466",2
"467",6
"468",4
"469",4
"470",4
"471",4
"472",6
"473",5
"474",5
"475",4
"476",1
"477",3
"478",4
"479",3
"480",5
"481",3
"482",6
"483",3
"484",5
"485",6
"486",5
"487",3
"488",6
"489",2
"490",6
"491",6
"492",1
"493",4
"494",5
"495",2
"496",3
"497",5
"498",1
"499",5
"500",2
"501",6
"502",1
"503",1
"504",5
"505",5
"506",1
"507",3
"508",1
"509",3
"510",1
"511",1
"512",5
"513",1
"514",5
"515",1
"516",1
"517",4
"518",4
"519",6
"520",1
"521",1
"522",6
"523",6
"524",2
"525",5
"526",1
"527",5
"528",2
"529",6
"530",1
"531",2
"532",1
"533",4
"534",4
"535",1
"536",5
"537",4
"538",6
"539",6
"540",2
"541",5
"542",3
"543",3
"544",2
"545",4
"546",6
"547",5
"548",4
"549",5
"550",6
"551",2
"552",6
"553",5
"554",5
"555",3
"556",6
"557",3
"558",5
"559",4
"560",1
"561",5
"562",5
"563",1
"564",1
"565",4
"566",3
"567",1
"568",1
"569",3
"570",6
"571",4
"572",6
"573",2
"574",4
"575",4
"576",4
"577",4
"578",2
"579",2
"580",4
"581",4
"582",2
"583",5
"584",6
"585",4
"586",3
"587",2
"588",1
"589",2
"590",1
"591",5
"592",4
"593",2
"594",2
"595",2
"596",2
"597",5
"598",2
"599",6
"600",6
"601",5
"602",1
"603",1
"604",5
"605",6
"606",4
"607",5
"608",6
"609",4
"610",5
"611",1
"612",5
"613",1
"614",2
"615",1
"616",4
"617",3
"618",1
"619",4
"620",2
"621",5
"622",6
"623",2
"624",4
"625",5
"626",2
"627",1
"628",4
"629",5
"630",5
"631",4
"632",5
"633",5
"634",6
"635",1
"636",4
"637",3
"638",1
"639",3
"640",4
"641",4
"642",4
"643",6
"644",1
"645",3
"646",4
"647",2
"648",4
"649",4
"650",4
"651",4
"652",1
"653",5
"654",4
"655",3
"656",6
"657",4
"658",5
"659",2
"660",6
"661",4
"662",6
"663",2
"664",1
"665",1
"666",2
"667",6
"668",3
"669",4
"670",5
"671",5
"672",4
"673",1
"674",5
"675",6
"676",5
"677",3
"678",2
"679",4
"680",4
"681",1
"682",1
"683",1
"684",3
"685",4
"686",1
"687",5
"688",3
"689",2
"690",2
"691",1
"692",1
"693",5
"694",3
"695",2
"696",2
"697",2
"698",1
"699",2
"700",3
"701",5
"702",5
"703",3
"704",3
"705",6
"706",1
"707",2
"708",6
"709",5
"710",3
"711",6
"712",2
"713",3
"714",3
"715",3
"716",2
"717",6
"718",4
"719",1
"720",4
"721",1
"722",2
"723",3
"724",1
"725",2
"726",2
"727",6
"728",5
"729",1
"730",3
"731",2
"732",1
"733",5
"734",6
"735",5
"736",5
"737",6
"738",4
"739",5
"740",3
"741",5
"742",2
"743",6
"744",5
"745",5
"746",3
"747",2
"748",5
"749",2
"750",5
"751",5
"752",3
"753",2
"754",5
"755",5
"756",6
"757",3
"758",5
"759",2
"760",2
"761",3
"762",3
"763",3
"764",6
"765",1
"766",6
"767",3
"768",5
"769",4
"770",3
"771",6
"772",4
"773",2
"774",5
"775",5
"776",6
"777",3
"778",1
"779",2
"780",1
"781",6
"782",2
"783",1
"784",5
"785",6
"786",6
"787",4
"788",4
"789",1
"790",3
"791",3
"792",5
"793",5
"794",4
"795",1
"796",1
"797",4
"798",4
"799",2
"800",2
"801",1
"802",5
"803",2
"804",6
"805",4
"806",5
"807",4
"808",5
"809",6
"810",3
"811",1
"812",1
"813",4
"814",4
"815",1
"816",1
"817",4
"818",3
"819",6
"820",5
"821",3
"822",1
"823",5
"824",4
"825",6
"826",6
"827",1
"828",5
"829",5
"830",1
"831",6
"832",6
"833",6
"834",4
"835",6
"836",6
"837",5
"838",5
"839",6
"840",6
"841",6
"842",2
"843",5
"844",2
"845",4
"846",2
"847",6
"848",4
"849",6
"850",3
"851",6
"852",6
"853",2
"854",5
"855",3
"856",1
"857",1
"858",6
"859",1
"860",3
"861",1
"862",1
"863",4
"864",3
"865",3
"866",1
"867",4
"868",1
"869",4
"870",2
"871",4
"872",2
"873",5
"874",2
"875",1
"876",6
"877",2
"878",1
"879",4
"880",4
"881",3
"882",3
"883",5
"884",3
"885",4
"886",1
"887",2
"888",2
"889",6
"890",4
"891",3
"892",3
"893",5
"894",2
"895",6
"896",3
"897",4
"898",6
"899",4
"900",5
"901",4
"902",6
"903",1
"904",2
"905",2
"906",6
"907",1
"908",3
"909",6
"910",1
"911",5
"912",5
"913",6
"914",4
"915",3
"916",6
"917",4
"918",4
"919",4
"920",4
"921",2
"922",1
"923",2
"924",6
"925",6
"926",4
"927",4
"928",3
"929",2
"930",1
"931",5
"932",2
"933",1
"934",2
"935",5
"936",1
"937",6
"938",5
"939",1
"940",5
"941",1
"942",3
"943",3
"944",2
"945",1
"946",1
"947",6
"948",4
"949",1
"950",5
"951",5
"952",1
"953",2
"954",4
"955",4
"956",2
"957",3
"958",6
"959",1
"960",4
"961",4
"962",3
"963",6
"964",2
"965",2
"966",5
"967",2
"968",5
"969",1
"970",3
"971",4
"972",5
"973",3
"974",3
"975",4
"976",1
"977",2
"978",3
"979",1
"980",5
"981",1
"982",1
"983",4
"984",3
"985",1
"986",2
"987",1
"988",2
"989",6
"990",1
"991",4
"992",6
"993",4
"994",1
"995",4
"996",4
"997",4
"998",6
"999",1
"1000",5
"1001",4
"1002",5
"1003",6
"1004",6
"1005",4
"1006",2
"1007",2
"1008",2
"1009",4
"1010",2
"1011",5
"1012",4
"1013",2
"1014",3
"1015",6
"1016",1
"1017",2
"1018",4
"1019",4
"1020",6
"1021",1
"1022",3
"1023",3
"1024",2
"1025",2
"1026",3
"1027",3
"1028",3
"1029",1
"1030",2
"1031",4
"1032",4
"1033",1
"1034",1
"1035",5
"1036",5
"1037",6
"1038",1
"1039",2
"1040",2
"1041",3
"1042",4
"1043",5
"1044",6
"1045",4
"1046",3
"1047",2
"1048",4
"1049",1
"1050",1
"1051",4
"1052",2
"1053",3
"1054",4
"1055",6
"1056",1
"1057",6
"1058",5
"1059",3
"1060",6
"1061",1
"1062",6
"1063",1
"1064",4
"1065",2
"1066",2
"1067",2
"1068",4
"1069",4
"1070",2
"1071",2
"1072",4
"1073",4
"1074",5
"1075",1
"1076",3
"1077",2
"1078",6
"1079",6
"1080",3
"1081",5
"1082",3
"1083",4
"1084",2
"1085",5
"1086",1
"1087",4
"1088",1
"1089",4
"1090",4
"1091",5
"1092",3
"1093",5
"1094",3
"1095",3
"1096",4
"1097",2
"1098",2
"1099",4
"1100",3
"1101",3
"1102",1
"1103",5
"1104",6
"1105",1
"1106",4
"1107",6
"1108",6
"1109",2
"1110",1
"1111",3
"1112",3
"1113",4
"1114",2
"1115",1
"1116",2
"1117",1
"1118",3
"1119",3
"1120",3
"1121",3
"1122",3
"1123",2
"1124",3
"1125",3
"1126",6
"1127",2
"1128",4
"1129",1
"1130",1
"1131",6
"1132",5
"1133",6
"1134",2
"1135",3
"1136",1
"1137",2
"1138",5
"1139",6
"1140",4
"1141",3
"1142",3
"1143",5
"1144",6
"1145",3
"1146",5
"1147",5
"1148",5
"1149",3
"1150",3
"1151",4
"1152",6
"1153",1
"1154",6
"1155",2
"1156",2
"1157",6
"1158",3
"1159",6
"1160",5
"1161",3
"1162",4
"1163",6
"1164",1
"1165",5
"1166",6
"1167",2
"1168",5
"1169",2
"1170",2
"1171",4
"1172",4
"1173",2
"1174",1
"1175",5
"1176",3
"1177",4
"1178",5
"1179",1
"1180",5
"1181",4
"1182",4
"1183",6
"1184",4
"1185",6
"1186",2
"1187",2
"1188",5
"1189",3
"1190",5
"1191",6
"1192",3
"1193",2
"1194",4
"1195",3
"1196",4
"1197",2
"1198",1
"1199",5
"1200",3
"1201",5
"1202",3
"1203",3
"1204",1
"1205",5
"1206",6
"1207",3
"1208",5
"1209",3
"1210",1
"1211",2
"1212",2
"1213",4
"1214",3
"1215",2
"1216",1
"1217",3
"1218",2
"1219",1
"1220",2
"1221",3
"1222",3
"1223",6
"1224",4
"1225",2
"1226",4
"1227",1
"1228",5
"1229",4
"1230",5
"1231",5
"1232",6
"1233",3
"1234",6
"1235",3
"1236",5
"1237",5
"1238",4
"1239",3
"1240",3
"1241",5
"1242",3
"1243",1
"1244",5
"1245",4
"1246",6
"1247",2
"1248",5
"1249",1
"1250",4
"1251",2
"1252",6
"1253",1
"1254",4
"1255",1
"1256",5
"1257",3
"1258",5
"1259",6
"1260",4
"1261",4
"1262",2
"1263",2
"1264",1
"1265",6
"1266",6
"1267",4
"1268",4
"1269",6
"1270",2
"1271",4
"1272",2
"1273",6
"1274",4
"1275",5
"1276",5
"1277",6
"1278",2
"1279",5
"1280",6
"1281",1
"1282",2
"1283",2
"1284",4
"1285",3
"1286",4
"1287",2
"1288",1
"1289",5
"1290",4
"1291",6
"1292",6
"1293",2
"1294",5
"1295",4
"1296",5
"1297",5
"1298",5
"1299",5
"1300",5
"1301",5
"1302",4
"1303",6
"1304",1
"1305",4
"1306",3
"1307",6
"1308",4
"1309",6
"1310",3
"1311",3
"1312",3
"1313",1
"1314",4
"1315",1
"1316",4
"1317",1
"1318",6
"1319",2
"1320",4
"1321",6
"1322",3
"1323",1
"1324",1
"1325",6
"1326",6
"1327",6
"1328",5
"1329",1
"1330",2
"1331",4
"1332",5
"1333",5
"1334",1
"1335",2
"1336",1
"1337",4
"1338",2
"1339",1
"1340",5
"1341",3
"1342",4
"1343",1
"1344",2
"1345",4
"1346",2
"1347",3
"1348",3
"1349",4
"1350",6
"1351",1
"1352",1
"1353",2
"1354",6
"1355",5
"1356",1
"1357",3
"1358",4
"1359",4
"1360",3
"1361",1
"1362",4
"1363",1
"1364",1
"1365",1
"1366",5
"1367",5
"1368",6
"1369",4
"1370",4
"1371",6
"1372",1
"1373",1
"1374",2
"1375",6
"1376",1
"1377",5
"1378",3
"1379",5
"1380",1
"1381",1
"1382",2
"1383",3
"1384",5
"1385",6
"1386",5
"1387",6
"1388",6
"1389",4
"1390",4
"1391",3
"1392",2
"1393",3
"1394",6
"1395",4
"1396",6
"1397",4
"1398",5
"1399",6
"1400",5
"1401",2
"1402",1
"1403",2
"1404",3
"1405",1
"1406",1
"1407",3
"1408",4
"1409",2
"1410",5
"1411",6
"1412",4
"1413",2
"1414",6
"1415",3
"1416",2
"1417",3
"1418",3
"1419",3
"1420",1
"1421",1
"1422",2
"1423",3
"1424",5
"1425",2
"1426",1
"1427",4
"1428",4
"1429",4
"1430",2
"1431",2
"1432",3
"1433",6
"1434",2
"1435",1
"1436",3
"1437",1
"1438",4
"1439",2
"1440",6
"1441",2
"1442",3
"1443",5
"1444",1
"1445",1
"1446",1
"1447",2
"1448",2
"1449",5
"1450",4
"1451",6
"1452",2
"1453",3
"1454",5
"1455",1
"1456",5
"1457",4
"1458",4
"1459",2
"1460",2
"1461",5
"1462",1
"1463",1
"1464",2
"1465",4
"1466",4
"1467",4
"1468",3
"1469",6
"1470",6
"1471",5
"1472",4
"1473",6
"1474",1
"1475",5
"1476",4
"1477",4
"1478",2
"1479",4
"1480",2
"1481",1
"1482",2
"1483",3
"1484",3
"1485",5
"1486",2
"1487",4
"1488",1
"1489",6
"1490",2
"1491",3
"1492",3
"1493",4
"1494",6
"1495",6
"1496",5
"1497",5
"1498",5
"1499",5
"1500",1
"1501",1
"1502",4
"1503",3
"1504",1
"1505",5
"1506",4
"1507",5
"1508",3
"1509",2
"1510",5
"1511",1
"1512",1
"1513",6
"1514",3
"1515",1
"1516",3
"1517",5
"1518",5
"1519",1
"1520",2
"1521",1
"1522",4
"1523",3
"1524",4
"1525",4
"1526",1
"1527",1
"1528",6
"1529",6
"1530",1
"1531",1
"1532",2
"1533",1
"1534",2
"1535",4
"1536",5
"1537",3
"1538",1
"1539",2
"1540",4
"1541",1
"1542",2
"1543",5
"1544",4
"1545",3
"1546",2
"1547",3
"1548",1
"1549",5
"1550",1
"1551",6
"1552",1
"1553",6
"1554",4
"1555",2
"1556",3
"1557",4
"1558",3
"1559",2
"1560",4
"1561",4
"1562",4
"1563",5
"1564",6
"1565",4
"1566",2
"1567",4
"1568",5
"1569",5
"1570",6
"1571",3
"1572",4
"1573",4
"1574",1
"1575",4
"1576",4
"1577",5
"1578",5
"1579",4
"1580",5
"1581",6
"1582",4
"1583",1
"1584",4
"1585",5
"1586",5
"1587",3
"1588",2
"1589",3
"1590",3
"1591",6
"1592",4
"1593",6
"1594",2
"1595",6
"1596",1
"1597",5
"1598",6
"1599",3
"1600",5
"1601",1
"1602",5
"1603",4
"1604",2
"1605",3
"1606",6
"1607",2
"1608",3
"1609",2
"1610",2
"1611",5
"1612",3
"1613",5
"1614",4
"1615",3
"1616",5
"1617",6
"1618",2
"1619",5
"1620",4
"1621",4
"1622",1
"1623",5
"1624",2
"1625",3
"1626",5
"1627",6
"1628",2
"1629",3
"1630",5
"1631",5
"1632",5
"1633",5
"1634",2
"1635",3
"1636",2
"1637",2
"1638",1
"1639",2
"1640",4
"1641",1
"1642",5
"1643",6
"1644",3
"1645",4
"1646",4
"1647",4
"1648",2
"1649",1
"1650",2
"1651",1
"1652",3
"1653",5
"1654",5
"1655",6
"1656",4
"1657",2
"1658",3
"1659",4
"1660",3
"1661",6
"1662",2
"1663",2
"1664",4
"1665",1
"1666",4
"1667",4
"1668",6
"1669",2
"1670",5
"1671",2
"1672",5
"1673",6
"1674",2
"1675",6
"1676",1
"1677",1
"1678",6
"1679",1
"1680",3
"1681",4
"1682",6
"1683",6
"1684",3
"1685",1
"1686",4
"1687",4
"1688",2
"1689",4
"1690",3
"1691",1
"1692",1
"1693",4
"1694",3
"1695",2
"1696",3
"1697",2
"1698",2
"1699",6
"1700",5
"1701",4
"1702",4
"1703",3
"1704",4
"1705",5
"1706",6
"1707",1
"1708",3
"1709",5
"1710",3
"1711",3
"1712",4
"1713",1
"1714",1
"1715",6
"1716",3
"1717",2
"1718",3
"1719",2
"1720",6
"1721",2
"1722",2
"1723",5
"1724",2
"1725",3
"1726",2
"1727",2
"1728",1
"1729",3
"1730",5
"1731",1
"1732",5
"1733",4
"1734",1
"1735",2
"1736",3
"1737",1
"1738",6
"1739",5
"1740",4
"1741",3
"1742",4
"1743",2
"1744",4
"1745",2
"1746",6
"1747",6
"1748",2
"1749",1
"1750",6
"1751",6
"1752",1
"1753",4
"1754",1
"1755",2
"1756",5
"1757",6
"1758",5
"1759",1
"1760",4
"1761",2
"1762",6
"1763",1
"1764",6
"1765",6
"1766",3
"1767",5
"1768",2
"1769",3
"1770",4
"1771",3
"1772",1
"1773",3
"1774",2
"1775",5
"1776",4
"1777",1
"1778",3
"1779",1
"1780",3
"1781",2
"1782",1
"1783",6
"1784",4
"1785",5
"1786",6
"1787",2
"1788",4
"1789",4
"1790",6
"1791",6
"1792",4
"1793",2
"1794",4
"1795",4
"1796",3
"1797",5
"1798",3
"1799",1
"1800",3
"1801",4
"1802",2
"1803",6
"1804",1
"1805",1
"1806",2
"1807",3
"1808",3
"1809",2
"1810",6
"1811",1
"1812",2
"1813",1
"1814",2
"1815",4
"1816",3
"1817",1
"1818",3
"1819",4
"1820",3
"1821",6
"1822",5
"1823",4
"1824",1
"1825",3
"1826",4
"1827",3
"1828",1
"1829",1
"1830",2
"1831",6
"1832",5
"1833",6
"1834",5
"1835",2
"1836",1
"1837",2
"1838",4
"1839",4
"1840",5
"1841",2
"1842",2
"1843",1
"1844",1
"1845",1
"1846",6
"1847",3
"1848",2
"1849",3
"1850",1
"1851",4
"1852",3
"1853",6
"1854",2
"1855",5
"1856",3
"1857",6
"1858",2
"1859",6
"1860",4
"1861",5
"1862",3
"1863",5
"1864",6
"1865",1
"1866",4
"1867",3
"1868",3
"1869",6
"1870",6
"1871",4
"1872",1
"1873",6
"1874",4
"1875",6
"1876",6
"1877",6
"1878",4
"1879",5
"1880",4
"1881",6
"1882",4
"1883",5
"1884",2
"1885",5
"1886",5
"1887",3
"1888",3
"1889",6
"1890",1
"1891",6
"1892",3
"1893",1
"1894",6
"1895",2
"1896",3
"1897",1
"1898",4
"1899",6
"1900",4
"1901",6
"1902",5
"1903",4
"1904",6
"1905",4
"1906",4
"1907",1
"1908",6
"1909",4
"1910",3
"1911",5
"1912",2
"1913",6
"1914",6
"1915",4
"1916",6
"1917",3
"1918",5
"1919",3
"1920",1
"1921",6
"1922",4
"1923",1
"1924",5
"1925",1
"1926",4
"1927",6
"1928",4
"1929",1
"1930",5
"1931",6
"1932",6
"1933",3
"1934",6
"1935",3
"1936",4
"1937",5
"1938",3
"1939",5
"1940",4
"1941",4
"1942",6
"1943",2
"1944",6
"1945",3
"1946",1
"1947",1
"1948",4
"1949",2
"1950",5
"1951",4
"1952",3
"1953",4
"1954",6
"1955",5
"1956",2
"1957",6
"1958",3
"1959",6
"1960",5
"1961",3
"1962",1
"1963",6
"1964",4
"1965",4
"1966",5
"1967",4
"1968",4
"1969",3
"1970",1
"1971",5
"1972",1
"1973",2
"1974",3
"1975",2
"1976",2
"1977",1
"1978",2
"1979",3
"1980",1
"1981",4
"1982",4
"1983",5
"1984",4
"1985",1
"1986",3
"1987",2
"1988",2
"1989",6
"1990",2
"1991",6
"1992",5
"1993",6
"1994",4
"1995",5
"1996",2
"1997",4
"1998",2
"1999",1
"2000",6
"2001",4
"2002",6
"2003",5
"2004",1
"2005",1
"2006",4
"2007",2
"2008",4
"2009",3
"2010",2
"2011",5
"2012",5
"2013",4
"2014",6
"2015",6
"2016",2
"2017",2
"2018",2
"2019",4
"2020",1
"2021",6
"2022",4
"2023",4
"2024",4
"2025",4
"2026",3
"2027",5
"2028",5
"2029",5
"2030",4
"2031",3
"2032",2
"2033",6
"2034",3
"2035",4
"2036",2
"2037",2
"2038",3
"2039",3
"2040",2
"2041",5
"2042",4
"2043",1
"2044",3
"2045",2
"2046",2
"2047",4
"2048",4
"2049",4
"2050",5
"2051",4
"2052",6
"2053",2
"2054",5
"2055",4
"2056",2
"2057",4
"2058",6
"2059",2
"2060",4
"2061",5
"2062",3
"2063",1
"2064",4
"2065",3
"2066",5
"2067",1
"2068",2
"2069",4
"2070",5
"2071",6
"2072",5
"2073",1
"2074",4
"2075",5
"2076",3
"2077",3
"2078",5
"2079",2
"2080",4
"2081",2
"2082",1
"2083",1
"2084",3
"2085",1
"2086",6
"2087",1
"2088",4
"2089",1
"2090",6
"2091",3
"2092",1
"2093",5
"2094",4
"2095",4
"2096",1
"2097",4
"2098",5
"2099",2
"2100",2
"2101",4
"2102",1
"2103",5
"2104",2
"2105",5
"2106",5
"2107",5
"2108",3
"2109",5
"2110",2
"2111",4
"2112",4
"2113",2
"2114",1
"2115",6
"2116",6
"2117",1
"2118",2
"2119",5
"2120",1
"2121",6
"2122",1
"2123",2
"2124",2
"2125",2
"2126",1
"2127",5
"2128",5
"2129",5
"2130",6
"2131",6
"2132",2
"2133",5
"2134",1
"2135",6
"2136",3
"2137",6
"2138",6
"2139",6
"2140",6
"2141",6
"2142",2
"2143",5
"2144",1
"2145",5
"2146",3
"2147",1
"2148",4
"2149",5
"2150",4
"2151",1
"2152",6
"2153",5
"2154",1
"2155",6
"2156",4
"2157",5
"2158",6
"2159",6
"2160",3
"2161",5
"2162",5
"2163",2
"2164",4
"2165",4
"2166",4
"2167",1
"2168",3
"2169",3
"2170",1
"2171",1
"2172",2
"2173",3
"2174",6
"2175",5
"2176",1
"2177",6
"2178",2
"2179",2
"2180",4
"2181",2
"2182",3
"2183",3
"2184",5
"2185",2
"2186",6
"2187",5
"2188",4
"2189",3
"2190",2
"2191",1
"2192",3
"2193",6
"2194",3
"2195",4
"2196",1
"2197",3
"2198",2
"2199",4
"2200",6
"2201",2
"2202",4
"2203",3
"2204",6
"2205",2
"2206",6
"2207",4
"2208",1
"2209",6
"2210",5
"2211",2
"2212",2
"2213",6
"2214",1
"2215",4
"2216",6
"2217",3
"2218",6
"2219",1
"2220",2
"2221",6
"2222",2
"2223",6
"2224",6
"2225",4
"2226",6
"2227",4
"2228",6
"2229",1
"2230",1
"2231",1
"2232",6
"2233",2
"2234",3
"2235",2
"2236",1
"2237",2
"2238",4
"2239",5
"2240",5
"2241",1
"2242",6
"2243",1
"2244",2
"2245",1
"2246",1
"2247",6
"2248",1
"2249",6
"2250",3
"2251",2
"2252",4
"2253",2
"2254",2
"2255",5
"2256",2
"2257",1
"2258",2
"2259",1
"2260",1
"2261",5
"2262",5
"2263",5
"2264",2
"2265",3
"2266",4
"2267",1
"2268",1
"2269",5
"2270",4
"2271",2
"2272",2
"2273",3
"2274",2
"2275",4
"2276",6
"2277",1
"2278",1
"2279",6
"2280",6
"2281",5
"2282",5
"2283",5
"2284",4
"2285",1
"2286",1
"2287",5
"2288",4
"2289",4
"2290",6
"2291",1
"2292",4
"2293",5
"2294",6
"2295",5
"2296",4
"2297",2
"2298",6
"2299",5
"2300",2
"2301",6
"2302",5
"2303",6
"2304",4
"2305",2
"2306",2
"2307",6
"2308",3
"2309",5
"2310",6
"2311",2
"2312",2
"2313",3
"2314",5
"2315",6
"2316",1
"2317",1
"2318",3
"2319",6
"2320",1
"2321",5
"2322",3
"2323",3
"2324",5
"2325",2
"2326",1
"2327",4
"2328",4
"2329",1
"2330",6
"2331",3
"2332",4
"2333",2
"2334",1
"2335",2
"2336",6
"2337",1
"2338",3
"2339",4
"2340",2
"2341",4
"2342",4
"2343",3
"2344",2
"2345",3
"2346",2
"2347",1
"2348",1
"2349",4
"2350",4
"2351",1
"2352",6
"2353",2
"2354",4
"2355",6
"2356",3
"2357",2
"2358",5
"2359",3
"2360",5
"2361",4
"2362",6
"2363",4
"2364",6
"2365",6
"2366",3
"2367",3
"2368",4
"2369",4
"2370",6
"2371",3
"2372",2
"2373",6
"2374",2
"2375",2
"2376",5
"2377",4
"2378",4
"2379",6
"2380",3
"2381",3
"2382",3
"2383",6
"2384",6
"2385",5
"2386",6
"2387",3
"2388",3
"2389",1
"2390",6
"2391",3
"2392",6
"2393",5
"2394",4
"2395",5
"2396",6
"2397",2
"2398",4
"2399",4
"2400",2
"2401",2
"2402",4
"2403",1
"2404",1
"2405",2
"2406",2
"2407",4
"2408",4
"2409",3
"2410",5
"2411",4
"2412",5
"2413",5
"2414",3
"2415",3
"2416",3
"2417",3
"2418",1
"2419",6
"2420",5
"2421",2
"2422",5
"2423",2
"2424",4
"2425",1
"2426",2
"2427",2
"2428",4
"2429",3
"2430",5
"2431",3
"2432",3
"2433",3
"2434",5
"2435",2
"2436",6
"2437",5
"2438",4
"2439",3
"2440",5
"2441",6
"2442",5
"2443",2
"2444",2
"2445",6
"2446",4
"2447",5
"2448",3
"2449",3
"2450",6
"2451",5
"2452",3
"2453",5
"2454",4
"2455",6
"2456",6
"2457",6
"2458",6
"2459",3
"2460",5
"2461",5
"2462",3
"2463",2
"2464",4
"2465",1
"2466",5
"2467",1
"2468",2
"2469",4
"2470",2
"2471",1
"2472",2
"2473",4
"2474",1
"2475",5
"2476",5
"2477",3
"2478",1
"2479",5
"2480",5
"2481",6
"2482",6
"2483",6
"2484",2
"2485",2
"2486",5
"2487",5
"2488",4
"2489",6
"2490",4
"2491",3
"2492",3
"2493",6
"2494",6
"2495",4
"2496",4
"2497",1
"2498",1
